"Дата"	"Всего"	"Денежный агрегат М2"	"Депозиты в иностранной валюте других финансовых организаций"	"Депозиты в иностранной валюте нефинансовых организаций"	"Депозиты в иностранной валюте домашних хозяйств"	"Депозитные и сберегательные сертификаты"
"Февраль 2011"	23535.2	19536.7	42.4	2074.9	1853.4	27.8
"Март 2011"	23638.5	19788.7	45.3	1934.6	1842.2	27.7
"Апрель 2011"	23737.2	20020.8	43.3	1818.4	1827.1	27.7
"Май 2011"	24027.0	20160.9	49.7	1957.9	1830.9	27.5
"Июнь 2011"	24459.2	20721.9	48.0	1821.1	1840.6	27.6
"Июль 2011"	24586.9	20828.1	46.5	1873.5	1810.4	28.4
"Август 2011"	24948.2	21061.9	43.0	1916.8	1898.9	27.6
"Сентябрь 2011"	25689.7	21480.4	45.3	2089.7	2047.9	26.3
"Октябрь 2011"	26315.6	21366.7	42.6	2895.8	1985.0	25.4
"Ноябрь 2011"	26290.4	21920.0	49.5	2263.0	2033.0	25.2
"Декабрь 2011"	28485.9	24204.8	54.4	2095.7	2106.0	25.0
"Январь 2012"	27736.1	23349.1	56.2	2262.7	2044.0	24.0
"Февраль 2012"	27847.6	23542.5	59.6	2190.8	2030.2	24.6
"Март 2012"	28136.7	23747.8	71.4	2181.5	2104.6	31.4
"Апрель 2012"	28298.4	23923.8	64.9	2152.8	2112.1	44.9
"Май 2012"	28770.1	24036.3	64.5	2323.5	2277.0	68.8
"Июнь 2012"	29198.7	24461.0	68.6	2255.0	2325.0	88.3
"Июль 2012"	29101.0	24306.3	83.3	2295.1	2310.1	106.1
"Август 2012"	29231.1	24284.2	89.9	2333.8	2398.3	124.9
"Сентябрь 2012"	29435.8	24437.8	84.1	2396.8	2359.8	157.3
"Октябрь 2012"	29681.6	24444.8	93.5	2538.2	2423.6	181.4
"Ноябрь 2012"	29901.9	24741.0	81.9	2461.6	2409.2	208.2
"Декабрь 2012"	32205.7	27164.6	86.1	2311.9	2410.5	232.6
"Январь 2013"	31490.6	26348.7	67.0	2410.1	2416.5	248.2
"Февраль 2013"	32043.4	26768.4	60.5	2495.9	2454.5	264.2
"Март 2013"	32626.9	27198.6	65.0	2537.5	2546.7	279.0
"Апрель 2013"	32981.1	27377.1	71.3	2633.0	2607.8	292.0
"Май 2013"	33215.5	27593.4	76.9	2618.4	2623.2	303.5
"Июнь 2013"	34139.4	28212.3	77.6	2816.5	2719.7	313.3
"Июль 2013"	34394.7	28443.9	81.2	2750.8	2796.1	322.6
"Август 2013"	34601.8	28499.9	78.7	2831.7	2858.8	332.6
"Сентябрь 2013"	34518.2	28352.6	78.0	2895.7	2853.1	338.8
"Октябрь 2013"	34463.2	28276.4	85.4	2881.6	2873.3	346.4
"Ноябрь 2013"	35139.3	28873.3	98.3	2892.8	2928.3	346.7
"Декабрь 2013"	37368.7	31155.6	77.2	2933.0	2847.0	355.9
"Январь 2014"	37054.5	29861.2	87.8	3597.7	3146.7	361.1
"Февраль 2014"	37635.1	30169.0	83.6	3743.5	3279.6	359.5
"Март 2014"	37066.9	29519.3	95.2	3835.1	3263.9	353.4
"Апрель 2014"	37286.2	29879.2	89.2	3727.4	3239.2	351.2
"Май 2014"	37292.6	29890.8	96.4	3808.4	3146.9	349.9
"Июнь 2014"	37179.8	30071.8	93.7	3575.0	3088.6	350.7
"Июль 2014"	37426.3	30178.3	92.9	3580.9	3212.4	361.8
"Август 2014"	37688.9	30338.7	93.2	3646.7	3243.1	367.2
"Сентябрь 2014"	38123.3	30297.6	94.2	4044.7	3313.8	373.1
"Октябрь 2014"	38796.7	29831.2	111.8	4727.3	3740.3	386.2
"Ноябрь 2014"	40083.9	30141.9	109.4	5246.8	4170.7	415.1
"Декабрь 2014"	42909.6	31615.7	125.6	5993.2	4707.9	467.2
"Январь 2015"	45155.2	31033.7	169.5	7820.0	5645.0	487.0
"Февраль 2015"	43881.0	31225.0	153.7	6954.5	5041.3	506.5
"Март 2015"	43203.6	31028.8	137.3	6633.3	4872.3	531.9
"Апрель 2015"	42717.1	31696.9	153.2	5813.6	4506.9	546.6
"Май 2015"	42840.9	31820.4	157.7	5620.8	4684.7	557.3
"Июнь 2015"	43719.5	31936.3	174.3	6108.9	4948.9	551.1
"Июль 2015"	44472.6	32072.5	203.4	6385.5	5268.0	543.2
"Август 2015"	46504.0	32361.0	213.9	7422.9	5963.6	542.5
"Сентябрь 2015"	46858.4	32052.5	212.9	8071.8	5976.4	544.7
"Октябрь 2015"	46649.2	32161.0	223.2	7848.9	5847.1	568.9
"Ноябрь 2015"	47499.2	32745.0	228.8	7970.3	5971.0	584.0
"Декабрь 2015"	51370.1	35179.7	256.7	8753.3	6604.0	576.3
"Январь 2016"	50831.8	33966.5	267.2	9383.9	6643.6	570.6
"Февраль 2016"	51139.9	34309.6	255.1	9448.6	6531.0	595.5
"Март 2016"	50050.8	34689.4	281.8	8521.7	5939.3	618.6
"Апрель 2016"	49674.4	35105.5	256.4	7970.8	5717.4	624.4
"Май 2016"	50343.1	35642.9	278.7	7986.6	5832.4	602.5
"Июнь 2016"	49963.3	35856.9	240.2	7534.5	5729.1	602.5
"Июль 2016"	50192.2	36031.7	243.3	7313.5	6014.5	589.2
"Август 2016"	49877.3	36169.6	232.6	7046.0	5852.3	576.8
"Сентябрь 2016"	49543.7	36148.8	231.0	6828.7	5765.1	570.1
"Октябрь 2016"	49166.9	36051.0	247.7	6569.3	5758.4	540.4
"Ноябрь 2016"	49854.3	36433.0	224.9	6817.3	5876.9	502.2
"Декабрь 2016"	50895.2	38418.0	217.3	6253.9	5518.1	488.0
"Январь 2017"	51215.9	38016.8	225.0	7001.8	5487.1	485.2
"Февраль 2017"	51124.4	38462.3	214.9	6671.1	5292.7	483.5
"Март 2017"	50668.2	38555.2	221.2	6282.8	5120.3	488.7
"Апрель 2017"	50859.9	38663.8	256.3	6205.4	5257.6	476.7
"Май 2017"	51417.0	39222.9	217.7	6343.4	5166.7	466.3
"Июнь 2017"	52127.5	39623.1	226.9	6410.9	5404.0	462.5
"Июль 2017"	51936.8	39275.9	230.7	6591.2	5392.5	446.6
"Август 2017"	51860.2	39419.3	231.9	6460.5	5307.5	441.0
"Сентябрь 2017"	51853.2	39571.0	299.5	6325.0	5212.3	445.4
